smiles,energy,split
C,-1101.487793,1
N,-1538.147705,1
O,-2079.077881,1
C#C,-2103.669434,1
C#N,-2541.866943,1
C=O,-3115.257813,1
CC,-2170.493164,1
CO,-3147.789551,1
C#CC,-3173.107422,1
CC#N,-3611.444824,1
CC=O,-4184.773926,1
NC=O,-4622.147461,1
CCC,-3239.582764,1
CCO,-4217.022949,1
COC,-4216.686035,1
C1CC1,-3206.176025,1
C1CO1,-4183.54834,1
CC(C)=O,-5254.201172,1
CC(N)=O,-5691.514648,1
NC(N)=O,-6128.587891,1
CC(C)C,-4308.714844,1
CC(C)O,-5286.280762,1
C#CC#C,-4175.85498,1
C#CC#N,-4613.901367,1
N#CC#N,-5051.753906,1
C#CC=O,-5187.160645,1
N#CC=O,-5625.188477,1
O=CC=O,-6198.720703,1
CC#CC,-4242.498535,1
C#CCC,-4242.182617,1
CCC#N,-4680.525391,1
N#CCN,-5116.885254,1
C#CCO,-5219.440918,1
N#CCO,-5657.704102,1
CCC=O,-5253.84375,1
CNC=O,-5691.123047,1
COC=O,-6231.782715,1
O=CCO,-6231.206543,1
CCCC,-4308.676758,1
CCCO,-5286.113281,1
CCOC,-5285.923828,1
OCCO,-6263.600586,1
CC1CC1,-4275.364258,1
C[C@H]1CO1,-5252.875,1
CN1CC1,-4711.591309,1
OC1CC1,-5252.749512,1
C1CCC1,-4275.330078,1
C1COC1,-5252.725098,1
CC(C)=NO,-6758.634766,1
c1cc[nH]c1,-5717.160645,1
c1c[nH]cn1,-6154.149902,1
c1ccoc1,-6257.778809,1
c1cocn1,-6694.793945,1
CC(C)(C)C,-5377.84668,1
CC(C)(C)O,-6355.508301,1
C#CC(C)=O,-6256.639648,1
CC(=O)C#N,-6694.746094,1
C#CC(N)=O,-6693.943359,1
CC(=O)C=O,-7268.252441,1
NC(=O)C=O,-7705.414063,1
C#CC(C)C,-5311.302734,1
CC(C)C#N,-5749.651367,1
C[C@@H](N)C#N,-6186.184082,1
C#C[C@@H](C)O,-6288.778809,1
C[C@@H](O)C#N,-6727.059082,1
CC(C)C=O,-6322.972168,1
C[C@@H](O)C=O,-7300.479004,1
CN(C)C=O,-6760.134766,1
CC(=O)CO,-7300.84668,1
CCC(C)=O,-6323.319336,1
CCC(N)=O,-6760.626953,1
CNC(C)=O,-6760.492188,1
CNC(N)=O,-7197.533691,1
COC(C)=N,-6759.756348,1
COC(C)=O,-7301.393555,1
COC(N)=O,-7738.515137,1
NC(=O)CO,-7737.838379,1
CC(C)CO,-6355.256836,1
C[C@@H](O)CO,-7332.90332,1
CCC(C)C,-5377.769531,1
CC[C@@H](C)O,-6355.381348,1
COC(C)C,-6355.107422,1
CC1(C)CC1,-5344.570801,1
CC1(C)CO1,-6322.178223,1
CC1(O)CC1,-6322.114258,1
N=C1CCO1,-6726.686523,1
O=C1CCC1,-6290.069336,1
O=C1CCN1,-6727.351563,1
O=C1CCO1,-7268.330078,1
O=C1CNC1,-6726.387695,1
O=C1COC1,-7267.303711,1
CC1CCC1,-5344.532715,1
C[C@H]1CCO1,-6322.054688,1
CC1COC1,-6321.911133,1
OC1CCC1,-6322.109863,1
OC1COC1,-7299.410156,1
C[C@H]1C[C@H]1C,-5344.490723,1
C[C@H]1C[C@H]1O,-6321.996094,1
C[C@H]1CN1C,-5780.737305,1
C[C@@H]1O[C@@H]1C,-6322.14209,1
O[C@H]1C[C@H]1O,-7299.484375,1
C1C2CC1C2,-5310.539551,1
C1[C@H]2C[C@@H]1O2,-6287.716309,1
C#CCC#C,-5244.616211,1
C#CCC#N,-5682.889648,1
N#CCC#N,-6121.056152,1
C#CCC=O,-6256.387695,1
N#CCC=O,-6694.633301,1
N=CNC=O,-7164.233398,1
N=COC=O,-7705.084961,1
O=CNC=O,-7705.714355,1
C#CC#CC,-5245.333496,1
CC#CC#N,-5683.458984,1
CC#CC=O,-6256.671875,1
CC#CCO,-6288.861816,1
CC#CCC,-5311.574219,1
C/N=C/OC,-6759.180176,1
C#CCCC,-5311.287598,1
CCCC#N,-5749.634277,1
CNCC#N,-6185.822266,1
C#CCOC,-6288.339355,1
COCC#N,-6726.600098,1
C#CCCO,-6288.723145,1
N#CCCO,-6727.047852,1
CCCC=O,-6322.936523,1
CCNC=O,-6760.289551,1
CCOC=O,-7301.029297,1
COCC=O,-7300.086914,1
O=CCCO,-7300.343262,1
CCCCC,-5377.770508,1
CCCCO,-6355.202148,1
CCCOC,-6355.013672,1
CCOCC,-6355.161621,1
COCCO,-7332.523926,1
OCCCO,-7332.608887,1
C#CC1CC1,-5278.010742,1
C#C[C@H]1CN1,-5714.433594,1
C#C[C@H]1CO1,-6255.342285,1
N#CC1CC1,-5716.335938,1
N#C[C@H]1CN1,-6152.69043,1
N#C[C@H]1CO1,-6693.54834,1
O=CC1CC1,-6289.779785,1
O=C[C@H]1CN1,-6726.228516,1
O=C[C@H]1CO1,-7267.081543,1
O=CN1CC1,-6726.451172,1
CCC1CC1,-5344.460938,1
CC[C@H]1CO1,-6321.97168,1
CCN1CC1,-5780.767578,1
COC1CC1,-6321.678223,1
OCC1CC1,-6321.884277,1
OC[C@H]1CN1,-6758.338379,1
OC[C@H]1CO1,-7299.421875,1
C1=CCCC1,-5312.37207,1
C1=NCCO1,-6727.063965,1
C1=CCOC1,-6289.709961,1
C1CCCC1,-5345.209473,1
C1CCOC1,-6322.61377,1
C1COCO1,-7300.100098,1
C1C[C@@H]2C[C@H]12,-5311.111328,1
C1O[C@H]2C[C@@H]12,-6288.363281,1
C1C[C@H]2O[C@@H]12,-6288.608887,1
c1cn[nH]c1,-6153.702148,1
c1c[nH]nn1,-6590.057617,1
[CH]1N=C[N]N1,-6590.750977,1
c1nnc[nH]1,-6590.498535,1
c1cn[nH]n1,-6590.216797,1
c1cnoc1,-6693.839355,1
c1conn1,-7130.338867,1
c1ncon1,-7130.921387,1
c1nnco1,-7131.165527,1
c1nnno1,-7566.827148,1
c1cnon1,-7129.865723,1
c1nnon1,-7566.379883,1
n1nnon1,-8002.368164,1
C#C/C(C)=N/O,-7761.17627,1
C/C(CO)=N\O,-8805.214844,1
CC/C(C)=N/O,-7827.698242,1
ON=C1CCC1,-7794.377441,1
ON=C1CNC1,-8230.693359,1
ON=C1COC1,-8771.619141,1
FC(F)(F)F,-11904.56934,1
O=c1[nH]cc[nH]1,-8201.663086,1
O=c1[nH]cco1,-8742.373047,1
O=c1occo1,-9283.044922,1
Cc1ccc[nH]1,-6786.448242,1
Cc1ccco1,-7327.144043,1
Cc1cnco1,-7764.177246,1
Cc1ncco1,-7764.229004,1
Nc1ccc[nH]1,-7223.03418,1
Nc1ccco1,-7763.778809,1
Nc1cnco1,-8200.791016,1
Nc1ncco1,-8200.998047,1
Oc1ccc[nH]1,-7763.958008,1
Oc1cnc[nH]1,-8200.913086,1
Oc1ncc[nH]1,-8201.217773,1
Cc1cc[nH]c1,-6786.392578,1
Cc1c[nH]cn1,-7223.464355,1
Cc1ccoc1,-7327.032227,1
Cc1cocn1,-7764.135742,1
Nc1cc[nH]c1,-7222.950195,1
Nc1c[nH]cn1,-7660.129883,1
Nc1ccoc1,-7763.599121,1
Nc1cocn1,-8200.799805,1
Oc1cc[nH]c1,-7763.855469,1
OC1=N[CH]N[CH]1,-8201.115234,1
Cn1cccc1,-6786.179688,1
Cn1ccnc1,-7223.187988,1
c1ccccc1,-6317.52002,1
