prediction,truth,gnumarker,gnucolor
5.454872735,1.9,3,16716947
4.630865452,4.49,5,6266528
6.355454024,4.52,3,16716947
3.833564693,3.8,5,6266528
8.309833705,9.73,2,11393254
5.605977436,3.72,2,11393254
10.80838473,12.8,9,10025880
9.248468779,8.3,2,11393254
8.347590603,8.04,5,8388736
9.320241206,8.04,2,11393254
13.44528269,15.1,9,10025880
4.216108707,5.06,2,11393254
9.09339962,7.38,7,15787660
1.891832635,0.28,3,16716947
10.65845476,10.86,2,11393254
9.753466941,10.22,9,10025880
3.633401608,1.55,3,16716947
8.18754594,8.56,2,11393254
8.898495817,10.21,2,11393254
2.212332451,4.6,5,6266528
13.11222692,13.57,1,16770273
9.2657643,9.5,2,11393254
8.224276155,7.95,2,11393254
6.611406724,4.5,3,16716947
9.49788287,10.57,2,11393254
3.942052835,5.34,5,6266528
8.777279027,9.28,7,15787660
5.020926514,4.782,5,6266528
8.875951327,7.65,2,11393254
10.15215338,10.19,2,11393254
6.742233649,5.65,2,11393254
12.82420596,14.9,1,16770273
5.313782748,4.2,5,6266528
2.55254639,3.31,5,6266528
6.731905819,4,5,6266528
0.739179945,4.494,5,6266528
4.445351198,4.8,5,6266528
4.409269957,4.31,5,6266528
4.654035955,3.2,5,6266528
11.47356686,10.36,2,11393254
8.696410224,10.31,2,11393254
9.578128044,6.73,5,8388736
8.003861437,8.11,5,8388736
10.894941,8.18,2,11393254
14.47064402,14.9,9,10025880
10.32720169,9.98,2,11393254
8.570928017,7.92,5,8388736
2.871047567,2.422,5,6266528
10.67162713,6.58,5,8388736
8.553090092,8.41,2,11393254
9.09847746,7.4,2,11393254
2.209005889,3.03,5,6266528
8.12907125,9.9,5,8388736
1.34309818,3.536,5,6266528
10.74277765,10.91,2,11393254
3.354810715,3.64,5,6266528
7.554712514,8.93,2,11393254
8.371829338,7.61,2,11393254
10.5084886,13.29,9,10025880
5.000977178,4.8,5,6266528
8.572654851,9.07,7,15787660
9.537077134,10.22,2,11393254
3.831073668,3.827,5,6266528
2.602528928,2.831,5,6266528
10.61499318,11.95,7,15787660
9.690583756,14.7,3,16716947
11.78160842,8.41,7,15787660
10.98880321,9.84,2,11393254
3.669836545,3.59,5,6266528
12.76094115,12.3,7,15787660
8.716050776,9.15,7,15787660
16.18106422,15.4,9,10025880
1.498530219,3.02,5,6266528
2.762998556,3.7,5,6266528
5.276048583,4.38,5,6266528
8.238589206,8.89,2,11393254
11.79161477,10.62,2,11393254
4.013912173,4.254,5,6266528
9.326183618,10.293,2,11393254
3.670086576,4.4,5,6266528
1.379422531,2.35,5,6266528
4.646514207,4.06,5,6266528
4.124276996,4.7,5,6266528
2.90961832,3.44,5,6266528
7.81997936,10.6,5,8388736
6.786891631,6,7,15787660
2.889899613,2.014,5,6266528
12.10367309,12.11,7,15787660
9.725425015,10.25,2,11393254
7.403302116,8.89,2,11393254
12.44902202,14.61,1,16770273
11.40447977,11.55,7,15787660
8.944017191,9.52,5,8388736
9.222825151,9.05,7,15787660
4.38038757,3.36,5,6266528
3.657002855,4.89,5,6266528
2.588340865,3.84,5,6266528
3.27094728,2.584,5,6266528
8.532166762,9.14,2,11393254
7.398474437,4.15,2,11393254
5.331903057,5.04,5,6266528
9.014197061,8.6,2,11393254
4.806795916,5.57,5,6266528
9.634735162,10.29,2,11393254
1.537201239,3.16,5,6266528
10.03666129,10.38,2,11393254
8.90459881,9.21,2,11393254
1.055718624,2.53,5,6266528
9.667744829,10.36,2,11393254
4.291754876,4.32,5,6266528
6.599536294,6.86,2,11393254
9.113964924,8.34,2,11393254
4.245002553,3.644,5,6266528
7.457787654,6.3,2,11393254
9.364966882,10.84,2,11393254
9.499755042,8.01,2,11393254
4.886698325,4.219,5,6266528
6.753842086,7.93,5,8388736
1.259720919,3.9,5,6266528
9.403901078,10.2,2,11393254
4.113968052,6.19,3,16716947
