pred,truth,ldalabel,gnumarker,gnucolor
26.77391804,19,2,5,10145074
80.44086032,115.1,41,3,13468991
89.98795121,70.24,39,7,16729344
70.18343323,89.2,38,7,8421376
35.48587789,28.5,6,3,9109643
158.0449277,197.13,21,13,2003199
66.54998,60.73,5,1,11529966
110.1105956,110.4,19,5,32768
74.72819139,116.06,41,3,13468991
177.3633852,199.1,21,13,2003199
90.95660551,80.17,38,7,8421376
186.8341726,173,26,1,16766720
1.003988949,11.7,3,1,3329330
12.61511806,13.83,3,1,3329330
41.90798637,57.8,7,2,4620980
8.085007308,13.7,3,1,3329330
38.03024125,26.1,2,5,10145074
17.23773276,30.7,3,1,3329330
113.3952315,109.9,41,3,13468991
74.56050557,75.4,5,1,11529966
97.53817845,66.36,5,1,11529966
122.6569658,125.9,19,5,32768
12.64156301,12.8,3,1,3329330
77.06739104,83.77,38,7,8421376
37.11797671,36.7,2,5,10145074
20.53897565,9.67,3,1,3329330
46.02025726,26.1,2,5,10145074
76.488654,69.55,5,1,11529966
69.10819982,47.8,9,11,35723
19.74718828,3.9,3,1,3329330
8.2961684,2.77,2,5,10145074
75.10893171,81.61,38,7,8421376
112.4617382,116.94,41,3,13468991
25.0994391,15.5,3,1,3329330
67.03474752,75.58,39,7,16729344
99.1779981,74.4,38,7,8421376
54.69493603,59.1,7,2,4620980
95.12957601,73.84,39,7,16729344
65.23685799,31.4,1,7,10025880
18.67234531,12.37,2,5,10145074
166.8102081,201.94,21,13,2003199
45.62680902,59.1,7,2,4620980
33.42417126,32.8,2,5,10145074
44.60374561,68.65,5,1,11529966
117.5682444,167.4,29,11,16716947
186.0874765,202.7,21,13,2003199
-13.601023,-2.09,4,9,16711680
6.94040884,1.16,3,1,3329330
88.94405663,74.3,5,1,11529966
48.33356078,60.6,7,2,4620980
49.73692667,50.4,5,1,11529966
188.1450289,162.55,25,9,16776960
49.09189234,41.86,0,13,2263842
2.279449344,16.4,3,1,3329330
32.77859445,26,8,7,8388736
168.6177089,190.8,21,13,2003199
173.9257536,167.36,26,1,16766720
12.10697289,16.15,3,1,3329330
38.42740735,52.22,7,2,4620980
19.39349513,26.52,8,7,8388736
76.02270607,74.5,5,1,11529966
28.02060584,23.7,2,5,10145074
172.4975084,201.09,21,13,2003199
117.5993929,130.8,19,5,32768
159.2348477,166.04,25,9,16776960
68.4468116,64.7,9,11,35723
48.99551209,53.2,9,11,35723
64.52928487,84.11,38,7,8421376
34.00638114,77.48,12,15,8900331
55.1728614,58.56,7,2,4620980
44.92870756,26.58,8,7,8388736
58.07812301,80.9,38,7,8421376
65.5235542,73.63,9,11,35723
66.62736906,56.14,9,11,35723
59.70123698,69.89,39,7,16729344
65.56922566,73.63,9,11,35723
52.61674553,67.53,5,1,11529966
26.04676954,49.05,6,3,9109643
18.08204467,27.86,6,3,9109643
-3.351855393,13,3,1,3329330
45.78954386,67.6,39,7,16729344
145.9052467,200.3,21,13,2003199
78.01318987,63.7,5,1,11529966
94.71389562,116.94,41,3,13468991
135.0353367,117.52,41,3,13468991
68.52455937,64.25,5,1,11529966
18.24054602,33.86,8,7,8388736
46.08176946,58.65,7,2,4620980
8.622049257,30.5,2,5,10145074
80.11005491,75.99,5,1,11529966
13.26782263,13.47,3,1,3329330
5.130229658,30.5,2,5,10145074
31.05090151,19.3,2,5,10145074
-0.29749531,149,34,15,14381203
54.76841292,49.2,9,11,35723
-15.6135586,3.2,3,1,3329330
18.93818976,25.13,2,5,10145074
13.87787242,5.2,3,1,3329330
60.86092914,57.53,11,3,1644912
136.4613914,166.2,25,9,16776960
