atomic_number,logtest,ldalabel,gnumarker,gnucolor
6,-0.012290256,3,1,3329330
6,-0.08937458,1,7,10025880
6,-0.013872181,3,1,3329330
6,-0.014465738,11,3,1644912
7,0.195079413,2,11,16776960
6,-0.031376351,2,5,10145074
6,0.028970959,23,3,6737322
8,-0.010730114,8,5,6266528
8,-0.078698117,18,15,16738740
1,-0.024733495,1,7,10025880
1,0.056291294,1,7,10025880
1,-0.051233222,1,7,10025880
1,-0.050504555,8,7,3100495
1,-0.03986056,1,7,10025880
1,-0.075598512,1,7,10025880
1,-0.078137242,1,7,10025880
1,-0.031360202,9,11,35723
1,-0.040820163,23,3,3468991
1,-0.028734293,23,3,3468991
1,-0.026587749,4,9,11529966
1,-0.011334118,4,9,11529966
1,0.005575083,46,1,14381203
6,0.039887107,8,7,8388736
7,-0.083027641,15,11,16758465
6,-0.106332374,29,11,16716947
8,-0.040000196,21,5,8388736
7,-0.124293591,12,7,15787660
6,-0.06404337,27,3,16711935
6,-0.062340771,33,1,8087790
6,0.033192463,26,1,16766720
8,-0.090684402,17,3,16716947
7,-0.053634874,15,11,16758465
6,-0.017985076,8,7,8388736
6,-0.137465926,29,11,16716947
8,-0.062350665,21,5,8388736
7,-0.112029659,15,11,16758465
6,-0.03888664,8,7,8388736
1,-0.015519426,3,1,3329330
1,-0.054221861,3,1,3329330
1,-0.061195177,3,1,3329330
1,-0.030726806,32,13,16753920
1,-0.039447974,3,1,3329330
1,-0.036419313,3,1,3329330
1,-0.0608888,3,1,3329330
1,-0.020911678,3,1,3329330
1,-0.054432234,3,1,3329330
1,-0.053016879,3,1,3329330
6,-0.079815395,3,1,3329330
6,-0.04710105,18,13,9419919
6,-0.08483571,19,5,32768
6,-0.062412587,19,5,32768
6,-0.142819931,19,5,32768
6,-0.068727034,18,13,9419919
6,-0.063509494,3,1,3329330
6,-0.08728947,19,5,32768
6,-0.111297298,19,5,32768
6,-0.159122819,18,13,9419919
6,-0.081052817,18,13,9419919
6,-0.094019062,3,1,3329330
6,-0.069831007,2,5,10145074
6,-0.094436362,2,5,10145074
6,-0.124784944,2,5,10145074
6,-0.111617083,0,13,2263842
6,-0.146784764,3,1,3329330
6,-0.189037105,3,1,3329330
6,-0.089770133,19,5,32768
6,-0.09761093,19,5,32768
6,-0.087923205,19,5,32768
6,-0.09268132,19,5,32768
6,-0.080601528,18,13,9419919
6,-0.090264104,3,1,3329330
6,-0.109265934,19,5,32768
6,-0.113256524,19,5,32768
6,-0.158883182,19,5,32768
6,-0.092294665,18,13,9419919
6,-0.084537285,3,1,3329330
6,-0.097120464,19,5,32768
6,-0.119175883,19,5,32768
6,-0.171190137,18,13,9419919
6,-0.102631383,18,13,9419919
6,-0.083826579,3,1,3329330
6,-0.070421969,2,5,10145074
6,-0.100160292,2,5,10145074
6,-0.098238676,2,5,10145074
6,-0.130594596,0,13,2263842
6,-0.146596952,3,1,3329330
6,-0.145942887,3,1,3329330
1,-0.053781617,1,7,10025880
1,-0.039762768,1,7,10025880
1,-0.041462562,1,7,10025880
1,-0.089651377,12,15,9699539
1,-0.064436048,12,15,9699539
1,-0.071000821,12,15,9699539
1,-0.034148204,1,7,10025880
1,-0.0505978,1,7,10025880
1,-0.034817584,1,7,10025880
1,-0.127904049,12,15,9699539
1,-0.069596825,12,15,9699539
1,-0.058036775,1,7,10025880
1,-0.087462044,1,7,10025880
1,-0.060546501,1,7,10025880
1,-0.050197265,4,9,11529966
1,-0.060753082,4,9,11529966
1,-0.054451649,4,9,11529966
1,-0.145133953,4,9,11529966
1,-0.042041526,4,9,11529966
1,-0.060106927,4,9,11529966
1,-0.055612245,1,7,10025880
