Target,
1,
2,
3,
1,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
2,
3,
3,
1,
1,
1,
3,
1,
1,
1,
3,
1,
1,
1,
3,
1,
1,
1,
2,
2,
1,
1,
1,
1,
1,
1,
2,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
3,
3,
1,
1,
1,
1,
3,
1,
1,
1,
1,
1,
4,
4,aldehyde straight
2,
2,
8,amide! Straight chained
1,
1,
1,
1,
1,
6,ether straight chained
1,
1,
9,nitrogen ether straight chained
6,ether straight chained
6,ether straight chained
3,
3,
1,
1,
1,
6,ether straight chained
3,
1,
1,
1,
1,
6,ether straight chained
3,
1,
1,
1,
1,
5,ether N ringed!!!!
7,ether O ring
4,
4,aldehyde
4,aldehyde 
8,amide! Ringed
1,
1,
1,
7,ether O ring meh 
3,
3,
3,-OH-chain
1,
7,ether O ring
7,ether O ring
1,
1,
7,ether O ring
1,
1,
1,
2,
2,
2,
2,
2,azine
7,ehter O ring
5,ether N ring border
5,ether N ring border
5,ETHER n ring border
5,etheR n RING BORDER
5,ether N ringed border
5,ether N ringed
1,
1,
1,
3,HON
3,HON
3,HON
2,
2,
7,ether ringed!!
1,
1,
1,
1,
2,
2,
2,
2,
3,
3,OH -ring
3,OH -ring
1,CH -ring
1,CH
1,CH
1,CH
2,NH
