Target,
1,
2,
3,
1,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
2,
3,
3,
1,
1,
1,
3,
1,
1,
1,
3,
1,
1,
1,
3,
1,
1,
1,
2,
2,
1,
1,
1,
1,
1,
1,
2,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
2,
1,
1,
1,
1,
1,
1,
1,
1,
3,
3,
1,
1,
1,
1,
3,
1,
1,
1,
1,
1,
1,
1,
2,
2,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
3,
3,
1,
1,
1,
1,
3,
1,
1,
1,
1,
1,
3,
1,
1,
1,
1,
1,
1,
1,
1,aldehyde
1,aldehyde
1,aldehyde
1,
1,
1,
1,
3,
3,
3,-OH-chain
1,
1,
1,
1,
1,
1,
1,
1,
1,
2,
2,
2,
2,
2,azine
1,
1,
1,
1,
1,
1,
1,
1,
1,
1,
3,HON
3,HON
3,HON
2,
2,
1,
1,
1,
1,
1,
2,
2,
2,
2,
3,
3,OH -ring
3,OH -ring
1,CH -ring
1,CH
1,CH
1,CH
2,NH
