Target,
7,2
2,5
7,7
2,10
5,11
7,13
1,14
1,16
3,17
5,18
5,19
8,21
2,25
2,26
2,27
2,27
7,32
7,33
2,34
5,35
1,36
4,36
7,37
2,37
7,39
1,40
7,41
7,41
1,43
8,45
1,47
7,48
1,51
1,52
9,54
3,55
3,56
5,57
3,58
2,58
5,59
2,59
8,63
8,64
2,65
8,66
2,66
5,67
3,68
7,68
3,69
5,70
5,71
5,72
1,73
1,74
4,74
1,75
4,75
5,76
7,76
7,77
8,78
7,78
8,80
1,81
1,83
9,84
1,85
3,86
5,87
4,88
1,88
3,89
3,90
1,90
1,92
1,93
8,94
8,95
1,95
8,97
1,99
8,100
8,100
1,102
2,106
2,107
5,108
1,109
4,109
5,110
5,110
2,113
7,114
1,116
1,120
1,121
7,122
7,123
2,124
5,125
1,126
4,126
1,127
2,127
7,128
2,128
7,130
1,131
1,132
1,133
7,133
7,134
7,134
1,137
1,140
2,141
2,142
2,143
1,143
5,144
1,146
1,148
7,149
7,150
7,151
1,151
1,153
1,154
1,156
1,157
1,157
1,159
1,160
2,166
2,167
5,168
1,169
5,170
0,171
0,172
0,173
7,174
7,175
7,175
7,176
7,177
7,178
7,179
1,179
5,181
4,182
1,182
4,183
1,183
1,183
1,185
1,186
1,187
1,189
1,190
1,191
8,192
8,193
8,194
1,197
1,198
1,201
1,202
8,203
8,204
8,205
1,205
9,216
9,217
2,218
9,219
2,219
7,220
9,221
7,221
9,223
1,224
3,225
5,226
8,228
3,229
3,230
5,231
5,232
5,233
1,234
4,234
3,235
2,235
5,236
5,237
5,237
4,238
1,238
5,239
2,239
5,240
5,241
5,241
4,242
1,242
8,245
8,246
2,248
5,249
1,250
4,250
8,251
2,251
2,252
3,253
7,253
3,254
5,255
5,256
5,257
1,258
4,258
1,259
4,259
1,260
3,260
1,261
5,261
5,262
7,262
4,263
4,263
7,264
8,265
7,265
8,267
1,268
1,269
1,270
8,270
3,271
3,271
3,272
5,272
4,273
4,273
5,274
5,274
3,275
5,276
8,277
3,277
8,278
5,278
5,279
5,280
8,282
8,283
8,283
1,285
1,286
9,287
9,288
1,288
8,289
9,290
8,290
9,292
1,293
1,295
3,296
5,297
4,298
1,298
3,299
8,300
3,300
1,302
8,303
8,304
8,305
8,305
1,307
9,309
9,310
3,311
3,312
3,313
2,314
3,314
2,315
3,315
2,316
3,316
2,316
8,322
8,323
8,324
2,325
2,326
8,327
2,327
8,328
2,328
2,329
2,329
5,330
5,331
5,331
8,332
2,332
2,332
2,334
3,335
3,336
5,338
1,339
